row_id,id,text,document_id,location_id,sentence_id,title,forename,surname,pubyear,gender,text_sentence,text_location,lat,lon,Fiction/Non fiction,Genre 1,Genre 2,2nd Author - FN,2nd Author - SN,2nd Author - Gen,location_focus,sentiment,sentiment_score,refined_sentiment,final_sentiment
13,390,Prince's Street,1,187,390,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,"Several weary flights of stairs lead to the upper world, where Prince's Street helps to reassure us, though it is not a street at all, but a terrace of neat moderate-sized gray stone houses, mostly shops and hotels, facing a green valley whose farther slopes are topped with the long, upward slanting ridge of the Old Town (now mixed with many new edifices) culminating in the Castle on its precipice-edge. Near the middle of the thick-built ridge stands a dark church tower, sky seen through the beautiful open work of its crown of stone, airy at once and massive ; and close behind the lower end of the broken ridge of tall gray houses rises suddenly a bold mountain.
    ",Prince's Street,55.9526,-3.193,fiction,travel,history,0,0,0,TRUE,Positive,0.1,Neutral,Neutral
15,391,Old Town,1,90,391,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,"Several weary flights of stairs lead to the upper world, where Prince's Street helps to reassure us, though it is not a street at all, but a terrace of neat moderate-sized gray stone houses, mostly shops and hotels, facing a green valley whose farther slopes are topped with the long, upward slanting ridge of the Old Town (now mixed with many new edifices) culminating in the Castle on its precipice-edge. Near the middle of the thick-built ridge stands a dark church tower, sky seen through the beautiful open work of its crown of stone, airy at once and massive ; and close behind the lower end of the broken ridge of tall gray houses rises suddenly a bold mountain.
    ",Old Town,55.9471293,-3.2002511,fiction,travel,history,0,0,0,TRUE,Positive,0.1,Neutral,Neutral
29,400,St. Giles's,1,191,400,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,"One is often reminded of a chimney-piece overloaded with a jumble of ornaments,' or a room crowded with furniture of all tastes and styles together. From Prince's Street you can see at one view two squat Greek Temples, a huge florid Gothic monument to the great novelist, a large Renaissance Bank of Scotland, a Free Kirk Assembly Hall with two conspicuously ugly towers of bastard Perpendicular, the beautiful old crown of St. Giles's showing between them ; and, further up, the Castle, a huge heap of bastion and barrack, bestruck with little modern turrets. Here stands a statue of Allan Ramsay ; there, up a vista, one of George the Fourth.
    ",St. Giles's,55.9493396,-3.1905294,fiction,travel,history,0,0,0,TRUE,Positive,0.2,Neutral,Neutral
35,404,Prince's Street Gardens,1,194,404,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,"One of the newest specimens added to this miscellaneous city, is a bronze fountain (without water as yet, usually very scarce in our modern fountains) set up in the western part of Prince's Street Gardens, in the hollow. This fountain, rather the metal machinery for one, is large, florid and ugly, carrying atop a female figure, which seen from the front looks like a Fury, from the rear like Venus Kallipyge, but, as it holds a heavy cornucopia, is probably intended for the Goddess of Plenty.
    ",Prince's Street Gardens,55.9497435,-3.2019502,fiction,travel,history,0,0,0,TRUE,Negative,0,Negative,Neutral
39,406,Edinburgh,1,91,406,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,"old hall, now in the hands of the lawyers, is very stately, with a beautiful carved roof of dark-coloured oaken beams- It is also perfectly trim and tidy, and the great window is filled with painted glass from Munich, representing the first meeting of the Scottish Lords of Parliament in presence of James V., May 27, 1532—an elaborate picture in the most garish colours, with architectural background, in which are represented two other windows and buildings outside thereof, supposed to be seen through them, to the great admiration of many beholders. While I was contemplating this work of art, a gentleman whom I knew told me that being at Munich the other day he went over the famous stainedglass manufactory, and one of the principals said ' You ought if possible to see the great window of the Parliament House at Edinburgh : that is decidedly our chef-d'œuvre.' It is satisfactory to be able to lay one's finger on an admittedly typical work in any class, the ne plus ultra of its kind.
    ",Edinburgh,55.949428,-3.192704,fiction,travel,history,0,0,0,TRUE,Positive,0.4,Positive,Positive
147,518,High Street,1,205,518,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,"John Knox's house (provided for him about 1560 as minister of Edinburgh, and in which he lived some twelve years) I failed not to enter, mounting to the first floor by the old outside stair, which, like the countless other stairs of the High Street, swarmed with dirty barefooted children. The rooms, albeit restored and painted up, retain a veritably quaint aspect in their low ceilings, dark panels, and latticed windows.
    ",High Street,55.9501,-3.1882,fiction,travel,history,0,0,0,TRUE,Negative,-0.1,Negative,Neutral
215,1244,St. Giles's,1,191,1244,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,"After a dose of Hyde Park in the height of the season, I like to deviate through some low part of Soho, or even St. Giles's, noting (but not too pryingly) the faces, occupations, and amusements of its dingy denizens, and especially the grimy infancy that swarms in every close alley and on every dirty doorstep. Pallid and often squalid as they are, youth asserts even here its privilege of gaiety; and when the barrel-organ strikes up a Scotch reel, see how promptly six, eight, a dozen couples of dirty little girls, from five to fifteen, make a broad part of the pavement their ballroom, setting, turning, toeing and heeling, arms a-kimbo, and all the rest of it, with wonderful vigour and no little skill.
    ",St. Giles's,55.9493396,-3.1905294,fiction,travel,history,0,0,0,TRUE,Negative,0,Negative,Neutral
283,1368,Broughton Place,2,540,1368,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,"knew them as weU as I—Edgar of Broughton Place. Well, I was visiting the cook one night, and was sitting snugly in the corner of a clothes-screen—it was a lucky si.
    ",Broughton Place,55.9587,-3.1887,,,,,,,TRUE,Positive,0.3,Positive,Positive
377,1482,High Street,3,205,1482,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,"They were now returning towards the High Street, having penetrated to the junction with the Cowgate. Blackfriars Wynd was more crowded than at first.
    ",High Street,55.9501,-3.1882,fiction,romance,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
423,1532,Edinburgh,4,91,1532,Braes o' Balquhidder, Douglas,Aytoun,1896-01-01,m,"After a silence of nearly 'three months, the widow again communicated with her brother—Dr. Craigie— saying she had found her friends, Prince Caroli and his sister, charming people : that they had invited her to spend the summer with them at a family seat near Florence ; and she requested her sister-in-law to send her all the Edinburgh news to that address.
    ",Edinburgh,55.949428,-3.192704,,,,,,,TRUE,Positive,0.3,Positive,Positive
473,1712,Edinburgh,4,91,1712,Braes o' Balquhidder, Douglas,Aytoun,1896-01-01,m,"'I can corroborate,' put in Jack, 'and that in a very practical way, Miss Macgregor's remark regarding one class of Art—Scottish Landscape—to which she referred as being in great request in America. The two best commissions which our friend Leslie had last year were conveyed by letter from New York, owing to one of my friend's pictures having been acquired in Edinburgh by a wealthy member of the New York Stock Exchange. More than that, the writer gave most minute details as to the standpoints from which the pictures were to be taken—one from the north side of Bute, embracing Kames Bay and that charming spot, Tighnabruaich; the other, from the little island opposite Glen Caladh Castle at the entrance to Loch Ridden.
    ",Edinburgh,55.949428,-3.192704,,,,,,,TRUE,Positive,0.3,Positive,Positive
571,2027,Edinburgh,4,91,2027,Braes o' Balquhidder, Douglas,Aytoun,1896-01-01,m,"Never sweeter singer of songs had ever been given to Edinburgh than she boasted of in the person of the genial James Ballantine. His ' Castles in the air,' ' Ilka blade o' grass,' ' Rosy cheekit apples,' and many other charming lyrics are still as popular as ever throughout the United Kingdom, and wherever Scottish men and women congregate—and where do they not ?
    ",Edinburgh,55.949428,-3.192704,,,,,,,TRUE,Positive,0.4,Positive,Positive
683,3126,Old Town,5,90,3126,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,"The main street of the Old Town is full of business and tenements; but the former is entirely composed of small retail-shops, patronized exclusively by the straitened tenants of the dirty and gloomy and homely tenements.
    ",Old Town,55.9471293,-3.2002511,fiction,romance,0,0,0,0,TRUE,Negative,0,Negative,Neutral
691,3131,High Street,5,205,3131,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,"This is a prototype of the closes and the wynds, whether they be off the High Street or the Cowgate, excepting that the buildings in most of the others tower up to a much greater height. There are drunken, brawling men and women, idiots, cripples, loathsomely-scarred people, prostitutes arrayed in gaudily-striped petticoats or skirts, dirty, crying children, and, among all, the decent poor, struggling against poverty and crime for bread to enable them to stay longer in the misery, and to endure more of it.
    ",High Street,55.9501,-3.1882,fiction,romance,0,0,0,0,TRUE,Negative,0,Negative,Neutral
723,3158,Edinburgh,5,91,3158,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,"Benevolence has also done much for Edinburgh in the endowment of several splendid schools, hospitals, and asylums, which are erected in the suburbs, and are surrounded by beautiful grounds.
    ",Edinburgh,55.949428,-3.192704,fiction,romance,0,0,0,0,TRUE,Positive,0.5,Positive,Positive
745,3177,Edinburgh,5,91,3177,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,"Not far from Edinburgh is a beautiful edifice called Roslyn Chapel. It was built some four hundred years ago, but has been kept in perfect repair by the Earls of Roslyn, who own it.
    ",Edinburgh,55.949428,-3.192704,fiction,romance,0,0,0,0,TRUE,Positive,0.6,Positive,Positive
749,3256,High Street,5,205,3256,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,"For this purpose there is held twice a year, in the large cities, a "" feeing-market."" It continues two days ; and, during its session, the High Street of the city is crowded full of farm-hands
    ",High Street,55.9501,-3.1882,fiction,romance,0,0,0,0,TRUE,Positive,0.2,Positive,Positive
785,3410,Edinburgh,5,91,3410,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,"Its front-side has been terraced into beautiful walks amply shaded, and it is a favorite resort with the town-people on pleasant Sundays. It also differs from its Edinburgh fellow in that it is comparatively isolated, rising out of a plain, and conspicuous for miles around. From its buildings can be obtained one of the finest landscapes I ever saw.
    ",Edinburgh,55.949428,-3.192704,fiction,romance,0,0,0,0,TRUE,Positive,0.5,Positive,Positive
1117,4616,West End,7,700,4616,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"The Queen's Rooms, a Frenchified-looking building, with elaborate bas-reliefs on the entablature; Clairmont Church and Clairmont Stair, which is a flight of steps handsomely balustraded, and ornamental as well as useful. At the West End is also Dr. Caird's church—Park Church—whose tall tower and crowded pinnacles make it a noticeable feature in the view, more especially as a campanile near to it assists in drawing attention to the building. I did not see the interior of this church; but its exterior is very satisfactory, and affords one among numerous instances of the growing taste for ecclesiastical architecture among those who, a century ago, affected to despise it.
    ",West End,55.9528781,-3.2107041,fiction,adventure,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
1159,4691,Tolbooth,7,949,4691,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Not, however, that we can recognise it as the jail, for it is called the Cross Steeple, and the lofty tower is surmounted by a royal crown, like that upon the tower of St. Nicholas' Church at Newcastle-upon-Tyne ; and as it occupies a similar position to the Trongate Church that we have just passed, we think, in the simplicity of our minds, that it must be a companion ecclesiastical edifice. When, therefore, a polite individual informs me that it was the steeple attached to the old Tolbooth or prison, notwith- standing that I thank that individual for his polite communication, I pass on my way with the grim satisfaction that although a slight amount of verdant greenness may be visible in my eye, yet that I am not quite such a simpleton of a Southron as to be gulled by this wily Scot; and I am confirmed in my opinion that it is the tower of a church, and not of a prison, by the hour just then striking from its clock, and its beautiful chime of twenty-eight bells vigorously clashing out into a psalm tune.*
    ",Tolbooth,55.949616,-3.191541,fiction,adventure,0,0,0,0,TRUE,Positive,0,Neutral,Neutral
1177,4709,High Street,7,205,4709,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"HALFWAY up this thronged and dirty High Street, we find ourselves in front of a venerable-looking building of deep brown stone, 330 feet in length and three stories high — the third story, with its dormer windows, being in the roof—with all the window-tops richly decorated with carved scroll-and-panel-work ; an arched entrance-doorway in the centre lying in the shadow of heavy stone balconies, and surmounted by a mass of conventional Jacobæan ornaments, enclosing the royal arms, with the initials ' C. R. ii.' A tall tower, with a cupola (the lightning-conductor to which was fixed there by no ordinary workman—Benjamin Franklin to wit), appears over the steep roof; and, through the entrance-gateway, we see the first of the three courts of the building.
    ",High Street,55.9501,-3.1882,fiction,adventure,0,0,0,0,TRUE,Positive,0,Neutral,Neutral
1183,4718,High Street,7,205,4718,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"But the University buildings were not always on this site. We shall see where they once stood, if we walk on up this narrow High Street, and come to its very narrowest part, where the street twists sinuously up a steep hill—a very ravine of a street—with tall houses, gloomy and dirty, on either hand, all alive with barelegged women, and half-naked children, and whiskeydrinking men, and with innumerable entrances to closes and wynds, into whose foul mysteries we do not desire to penetrate. We are, however, treading upon historical ground, for this is the ' Bell o' the Brae' portion of High Street.
    ",High Street,55.9501,-3.1882,fiction,adventure,0,0,0,0,TRUE,Positive,0,Neutral,Neutral
1186,4719,High Street,7,205,4719,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"We shall see where they once stood, if we walk on up this narrow High Street, and come to its very narrowest part, where the street twists sinuously up a steep hill—a very ravine of a street—with tall houses, gloomy and dirty, on either hand, all alive with barelegged women, and half-naked children, and whiskeydrinking men, and with innumerable entrances to closes and wynds, into whose foul mysteries we do not desire to penetrate. We are, however, treading upon historical ground, for this is the ' Bell o' the Brae' portion of High Street. Here came Wallace with his brave band
    ",High Street,55.9501,-3.1882,fiction,adventure,0,0,0,0,TRUE,Positive,0.1,Neutral,Neutral
1204,5071,Cameron House,7,1341,5071,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"It is used as a deer park, and is beautifully wooded, and has a hunting box belonging to the Duke of Montrose. On the western shore we have passed Cameron House (where lives the lineal descendant of Smollett, the historian), Belretiro House, Banuchra Castle, and Arden House, near to which is the entrance to Glenfruin, ' the glen of wailing,' so called from the great battle fought here in 1602, between the Macgregors and Colquhouns, in which the latter clan were well nigh exterminated, while their chief, Alister of Glenstrae, having surrendered on terms, was treacherously hanged. The widows of the slain Colquhouns went to StirUng, and appeared before James the Sixth, each bearing the bloody shirt of her husband displayed on a pike, and demanding vengeance.
    ",Cameron House,55.9328829,-3.1583611,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Neutral,Neutral
1207,5074,Arden House,7,1344,5074,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"It is used as a deer park, and is beautifully wooded, and has a hunting box belonging to the Duke of Montrose. On the western shore we have passed Cameron House (where lives the lineal descendant of Smollett, the historian), Belretiro House, Banuchra Castle, and Arden House, near to which is the entrance to Glenfruin, ' the glen of wailing,' so called from the great battle fought here in 1602, between the Macgregors and Colquhouns, in which the latter clan were well nigh exterminated, while their chief, Alister of Glenstrae, having surrendered on terms, was treacherously hanged. The widows of the slain Colquhouns went to StirUng, and appeared before James the Sixth, each bearing the bloody shirt of her husband displayed on a pike, and demanding vengeance.
    ",Arden House,55.945446,-3.0390881,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Neutral,Neutral
1234,5620,Princes Street,7,567,5620,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"I had seen the giant factories of Manchester and Stockport similarly illuminated, and producing such a beautiful and striking effect, that I had felt tempted to make the wild assertion that those two important manufacturing towns were really picturesque places. But the illumination of the old town of Edinburgh is far more striking, especially when viewed, as I saw it, from the railway ravine; from which spot the lines of lamps in lofty Princes Street also contribute their share to the general effect. The view is less striking — although, even then, very remarkable—■ when seen from Princes Street itself, where the spectator is on a level with the lights.
    ",Princes Street,55.9518,-3.1985,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Positive,Positive
1360,5700,Holyrood,7,185,5700,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"To walk from Holyrood to Mons Meg is indeed a climb, for the height of this Mons is nearly 600 feet above the sea. But what a glorious prospect is there from the ramparts on which this old-fashioned piece of ordnance is placed ! beneath us, the beautiful Princes Street, with its terraced gardens divided by the classical facades of the National Galleries and Royal Institution; the lovely Scott monument; the mass of stony houses, meriting, by their prevailing tint, Tennyson's epithet,
    ",Holyrood,55.9498473,-3.183502,fiction,adventure,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
1363,5701,Mons Meg,7,219,5701,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"To walk from Holyrood to Mons Meg is indeed a climb, for the height of this Mons is nearly 600 feet above the sea. But what a glorious prospect is there from the ramparts on which this old-fashioned piece of ordnance is placed ! beneath us, the beautiful Princes Street, with its terraced gardens divided by the classical facades of the National Galleries and Royal Institution; the lovely Scott monument; the mass of stony houses, meriting, by their prevailing tint, Tennyson's epithet,
    ",Mons Meg,55.9487741,-3.2001579,fiction,adventure,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
1366,5702,Princes Street,7,567,5702,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"To walk from Holyrood to Mons Meg is indeed a climb, for the height of this Mons is nearly 600 feet above the sea. But what a glorious prospect is there from the ramparts on which this old-fashioned piece of ordnance is placed ! beneath us, the beautiful Princes Street, with its terraced gardens divided by the classical facades of the National Galleries and Royal Institution; the lovely Scott monument; the mass of stony houses, meriting, by their prevailing tint, Tennyson's epithet,
    ",Princes Street,55.9518,-3.1985,fiction,adventure,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
